,Name,Team,Number,Position,Age,Height,Weight,College,Salary,Age_Group
303,Kevin Martin,San Antonio Spurs,23,SG,33,161,199,Western Carolina,200600.0,31-35
304,Andre Miller,San Antonio Spurs,24,PG,40,165,200,Utah,250750.0,36-40
305,Patty Mills,San Antonio Spurs,8,PG,27,163,185,Saint Mary's,3578947.0,26-30
306,Tony Parker,San Antonio Spurs,9,PG,34,164,185,No College,13437500.0,31-35
307,Jonathon Simmons,San Antonio Spurs,17,SG,26,180,195,Houston,525093.0,26-30
308,David West,San Antonio Spurs,30,PF,35,179,250,Xavier,1499187.0,31-35
309,Kent Bazemore,Atlanta Hawks,24,SF,26,173,201,Old Dominion,2000000.0,26-30
310,Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,176,205,Michigan,1304520.0,21-25
311,Kirk Hinrich,Atlanta Hawks,12,SG,35,155,190,Kansas,2854940.0,31-35
312,Al Horford,Atlanta Hawks,15,C,30,160,245,Florida,12000000.0,26-30
313,Kris Humphries,Atlanta Hawks,43,PF,31,171,235,Minnesota,1000000.0,31-35
314,Kyle Korver,Atlanta Hawks,26,SG,35,179,212,Creighton,5746479.0,31-35
315,Paul Millsap,Atlanta Hawks,4,PF,31,168,246,Louisiana Tech,18671659.0,31-35
316,Mike Muscala,Atlanta Hawks,31,PF,24,151,240,Bucknell,947276.0,21-25
317,Lamar Patterson,Atlanta Hawks,13,SG,24,155,225,Pittsburgh,525093.0,21-25
318,Dennis Schroder,Atlanta Hawks,17,PG,22,168,172,No College,1763400.0,21-25
319,Mike Scott,Atlanta Hawks,32,PF,27,161,237,Virginia,3333333.0,26-30
320,Thabo Sefolosha,Atlanta Hawks,25,SF,32,168,220,No College,4000000.0,31-35
321,Tiago Splitter,Atlanta Hawks,11,C,31,176,245,No College,9756250.0,31-35
322,Walter Tavares,Atlanta Hawks,22,C,24,154,260,No College,1000000.0,21-25
323,Jeff Teague,Atlanta Hawks,0,PG,27,177,186,Wake Forest,8000000.0,26-30
324,Nicolas Batum,Charlotte Hornets,5,SG,27,153,200,No College,13125306.0,26-30
325,Troy Daniels,Charlotte Hornets,30,SG,24,152,205,Virginia Commonwealth,947276.0,21-25
326,Jorge Gutierrez,Charlotte Hornets,12,PG,27,170,189,California,189455.0,26-30
327,Tyler Hansbrough,Charlotte Hornets,50,PF,30,163,250,North Carolina,947276.0,26-30
328,Aaron Harrison,Charlotte Hornets,9,SG,21,168,210,Kentucky,525093.0,21-25
329,Spencer Hawes,Charlotte Hornets,0,PF,28,162,245,Washington,6110034.0,26-30
330,Al Jefferson,Charlotte Hornets,25,C,31,178,289,No College,13500000.0,31-35
331,Frank Kaminsky III,Charlotte Hornets,44,C,23,178,240,Wisconsin,2612520.0,21-25
332,Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,151,232,Kentucky,6331404.0,21-25
333,Jeremy Lamb,Charlotte Hornets,3,SG,24,180,185,Connecticut,3034356.0,21-25
334,Courtney Lee,Charlotte Hornets,1,SG,30,178,200,Western Kentucky,5675000.0,26-30
335,Jeremy Lin,Charlotte Hornets,7,PG,27,155,200,Harvard,2139000.0,26-30
336,Kemba Walker,Charlotte Hornets,15,PG,26,159,184,Connecticut,12000000.0,26-30
337,Marvin Williams,Charlotte Hornets,2,PF,29,163,237,North Carolina,7000000.0,26-30
338,Cody Zeller,Charlotte Hornets,40,C,23,178,240,Indiana,4204200.0,21-25
339,Chris Bosh,Miami Heat,1,PF,32,167,235,Georgia Tech,22192730.0,31-35
340,Luol Deng,Miami Heat,9,SF,31,161,220,Duke,10151612.0,31-35
341,Goran Dragic,Miami Heat,7,PG,30,164,190,No College,14783000.0,26-30
342,Gerald Green,Miami Heat,14,SF,30,164,205,No College,947276.0,26-30
343,Udonis Haslem,Miami Heat,40,PF,36,170,235,Florida,2854940.0,36-40
344,Joe Johnson,Miami Heat,2,SF,34,173,240,Arkansas,261894.0,31-35
345,Tyler Johnson,Miami Heat,8,SG,24,177,186,Fresno State,845059.0,21-25
346,Josh McRoberts,Miami Heat,4,PF,29,157,240,Duke,5543725.0,26-30
347,Josh Richardson,Miami Heat,0,SG,22,166,200,Tennessee,525093.0,21-25
348,Amar'e Stoudemire,Miami Heat,5,PF,33,168,245,No College,947276.0,31-35
349,Dwyane Wade,Miami Heat,3,SG,34,151,220,Marquette,20000000.0,31-35
350,Briante Weber,Miami Heat,12,PG,23,164,165,Virginia Commonwealth,0.0,21-25
351,Hassan Whiteside,Miami Heat,21,C,26,179,265,Marshall,981348.0,26-30
352,Justise Winslow,Miami Heat,20,SF,20,180,225,Duke,2481720.0,15-20
353,Dorell Wright,Miami Heat,11,SF,30,164,205,No College,0.0,26-30
354,Dewayne Dedmon,Orlando Magic,3,C,26,156,245,USC,947276.0,26-30
355,Evan Fournier,Orlando Magic,10,SG,23,168,205,No College,2288205.0,21-25
356,Aaron Gordon,Orlando Magic,0,PF,20,155,220,Arizona,4171680.0,15-20
357,Mario Hezonja,Orlando Magic,23,SG,21,171,218,No College,3741480.0,21-25
358,Ersan Ilyasova,Orlando Magic,7,PF,29,151,235,No College,7900000.0,26-30
359,Brandon Jennings,Orlando Magic,55,PG,26,155,169,No College,8344497.0,26-30
360,Devyn Marble,Orlando Magic,11,SF,23,154,200,Iowa,845059.0,21-25
361,Shabazz Napier,Orlando Magic,13,PG,24,165,175,Connecticut,1294440.0,21-25
362,Andrew Nicholson,Orlando Magic,44,PF,26,168,250,St. Bonaventure,2380593.0,26-30
363,Victor Oladipo,Orlando Magic,5,SG,24,158,210,Indiana,5192520.0,21-25
364,Elfrid Payton,Orlando Magic,4,PG,22,151,185,Louisiana-Lafayette,2505720.0,21-25
365,Jason Smith,Orlando Magic,14,PF,30,161,240,Colorado State,4300000.0,26-30
366,Nikola Vucevic,Orlando Magic,9,C,25,164,260,USC,11250000.0,21-25
367,C.J. Watson,Orlando Magic,32,PG,32,172,175,Tennessee,5000000.0,31-35
368,Alan Anderson,Washington Wizards,6,SG,33,161,220,Michigan State,4000000.0,31-35
369,Bradley Beal,Washington Wizards,3,SG,22,152,207,Florida,5694674.0,21-25
370,Jared Dudley,Washington Wizards,1,SF,30,164,225,Boston College,4375000.0,26-30
371,Jarell Eddie,Washington Wizards,8,SG,24,170,218,Virginia Tech,561716.0,21-25
372,Drew Gooden,Washington Wizards,90,PF,34,156,250,Kansas,3300000.0,31-35
373,Marcin Gortat,Washington Wizards,13,C,32,151,240,No College,11217391.0,31-35
374,JJ Hickson,Washington Wizards,21,C,27,152,242,North Carolina State,273038.0,26-30
375,Nene Hilario,Washington Wizards,42,C,33,175,250,No College,13000000.0,31-35
376,Markieff Morris,Washington Wizards,5,PF,26,159,245,Kansas,8000000.0,26-30
377,Kelly Oubre Jr.,Washington Wizards,12,SF,20,157,205,Kansas,1920240.0,15-20
378,Otto Porter Jr.,Washington Wizards,22,SF,23,175,198,Georgetown,4662960.0,21-25
379,Ramon Sessions,Washington Wizards,7,PG,30,151,190,Nevada,2170465.0,26-30
380,Garrett Temple,Washington Wizards,17,SG,30,162,195,LSU,1100602.0,26-30
381,Marcus Thornton,Washington Wizards,15,SF,29,165,205,LSU,200600.0,26-30
382,John Wall,Washington Wizards,2,PG,25,150,195,Kentucky,15851950.0,21-25
383,Darrell Arthur,Denver Nuggets,0,PF,28,179,235,Kansas,2814000.0,26-30
384,D.J. Augustin,Denver Nuggets,12,PG,28,173,183,Texas,3000000.0,26-30
385,Will Barton,Denver Nuggets,5,SF,25,173,175,Memphis,3533333.0,21-25
386,Wilson Chandler,Denver Nuggets,21,SF,29,153,225,DePaul,10449438.0,26-30
387,Kenneth Faried,Denver Nuggets,35,PF,26,173,228,Morehead State,11235955.0,26-30
388,Danilo Gallinari,Denver Nuggets,8,SF,27,171,225,No College,14000000.0,26-30
389,Gary Harris,Denver Nuggets,14,SG,21,169,210,Michigan State,1584480.0,21-25
390,Nikola Jokic,Denver Nuggets,15,C,21,156,250,No College,1300000.0,21-25
391,Joffrey Lauvergne,Denver Nuggets,77,C,24,173,220,No College,1709719.0,21-25
392,Mike Miller,Denver Nuggets,3,SG,36,170,218,Florida,947276.0,36-40
393,Emmanuel Mudiay,Denver Nuggets,0,PG,20,178,200,No College,3102240.0,15-20
394,Jameer Nelson,Denver Nuggets,1,PG,34,153,190,Saint Joseph's,4345000.0,31-35
395,Jusuf Nurkic,Denver Nuggets,23,C,21,169,280,No College,1842000.0,21-25
396,JaKarr Sampson,Denver Nuggets,9,SG,23,178,214,St. John's,258489.0,21-25
397,Axel Toupane,Denver Nuggets,6,SG,23,156,210,No College,0.0,21-25
398,Nemanja Bjelica,Minnesota Timberwolves,88,PF,28,150,240,No College,3950001.0,26-30
399,Gorgui Dieng,Minnesota Timberwolves,5,C,26,165,241,Louisville,1474440.0,26-30
400,Kevin Garnett,Minnesota Timberwolves,21,PF,40,180,240,No College,8500000.0,36-40
401,Tyus Jones,Minnesota Timberwolves,1,PG,20,154,195,Duke,1282080.0,15-20
402,Zach LaVine,Minnesota Timberwolves,8,PG,21,163,189,UCLA,2148360.0,21-25
403,Shabazz Muhammad,Minnesota Timberwolves,15,SF,23,161,223,UCLA,2056920.0,21-25
404,Adreian Payne,Minnesota Timberwolves,33,PF,25,160,237,Michigan State,1938840.0,21-25
405,Nikola Pekovic,Minnesota Timberwolves,14,C,30,154,307,No College,12100000.0,26-30
406,Tayshaun Prince,Minnesota Timberwolves,12,SF,36,174,212,Kentucky,947276.0,36-40
407,Ricky Rubio,Minnesota Timberwolves,9,PG,25,169,194,No College,12700000.0,21-25
408,Damjan Rudez,Minnesota Timberwolves,10,SF,29,167,230,No College,1149500.0,26-30
409,Greg Smith,Minnesota Timberwolves,4,PF,25,175,250,Fresno State,0.0,21-25
410,Karl-Anthony Towns,Minnesota Timberwolves,32,C,20,156,244,Kentucky,5703600.0,15-20
411,Andrew Wiggins,Minnesota Timberwolves,22,SG,21,176,199,Kansas,5758680.0,21-25
412,Steven Adams,Oklahoma City Thunder,12,C,22,172,255,Pittsburgh,2279040.0,21-25
413,Nick Collison,Oklahoma City Thunder,4,PF,35,174,255,Kansas,3750000.0,31-35
414,Kevin Durant,Oklahoma City Thunder,35,SF,27,151,240,Texas,20158622.0,26-30
415,Randy Foye,Oklahoma City Thunder,6,SG,32,173,213,Villanova,3135000.0,31-35
416,Josh Huestis,Oklahoma City Thunder,34,SF,24,179,230,Stanford,1140240.0,21-25
417,Serge Ibaka,Oklahoma City Thunder,9,PF,26,174,245,No College,12250000.0,26-30
418,Enes Kanter,Oklahoma City Thunder,11,C,24,167,245,Kentucky,16407500.0,21-25
419,Mitch McGary,Oklahoma City Thunder,33,PF,24,158,255,Michigan,1463040.0,21-25
420,Nazr Mohammed,Oklahoma City Thunder,13,C,38,167,250,Kentucky,222888.0,36-40
421,Anthony Morrow,Oklahoma City Thunder,2,SG,30,168,210,Georgia Tech,3344000.0,26-30
422,Cameron Payne,Oklahoma City Thunder,22,PG,21,179,185,Murray State,2021520.0,21-25
423,Andre Roberson,Oklahoma City Thunder,21,SG,24,152,210,Colorado,1210800.0,21-25
424,Kyle Singler,Oklahoma City Thunder,5,SF,28,169,228,Duke,4500000.0,26-30
425,Dion Waiters,Oklahoma City Thunder,3,SG,24,172,220,Syracuse,5138430.0,21-25
426,Russell Westbrook,Oklahoma City Thunder,0,PG,27,161,200,UCLA,16744218.0,26-30
427,Cliff Alexander,Portland Trail Blazers,34,PF,20,166,240,Kansas,525093.0,15-20
428,Al-Farouq Aminu,Portland Trail Blazers,8,SF,25,151,215,Wake Forest,8042895.0,21-25
429,Pat Connaughton,Portland Trail Blazers,5,SG,23,150,206,Notre Dame,625093.0,21-25
430,Allen Crabbe,Portland Trail Blazers,23,SG,24,162,210,California,947276.0,21-25
431,Ed Davis,Portland Trail Blazers,17,C,27,160,240,North Carolina,6980802.0,26-30
432,Maurice Harkless,Portland Trail Blazers,4,SF,23,176,215,St. John's,2894059.0,21-25
433,Gerald Henderson,Portland Trail Blazers,9,SG,28,163,215,Duke,6000000.0,26-30
434,Chris Kaman,Portland Trail Blazers,35,C,34,157,265,Central Michigan,5016000.0,31-35
435,Meyers Leonard,Portland Trail Blazers,11,PF,24,180,245,Illinois,3075880.0,21-25
436,Damian Lillard,Portland Trail Blazers,0,PG,25,150,195,Weber State,4236287.0,21-25
437,C.J. McCollum,Portland Trail Blazers,3,SG,24,153,200,Lehigh,2525160.0,21-25
438,Luis Montero,Portland Trail Blazers,44,SG,23,180,185,Westchester CC,525093.0,21-25
439,Mason Plumlee,Portland Trail Blazers,24,C,26,171,235,Duke,1415520.0,26-30
440,Brian Roberts,Portland Trail Blazers,2,PG,30,172,173,Dayton,2854940.0,26-30
441,Noah Vonleh,Portland Trail Blazers,21,PF,20,176,240,Indiana,2637720.0,15-20
442,Trevor Booker,Utah Jazz,33,PF,28,180,228,Clemson,4775000.0,26-30
443,Trey Burke,Utah Jazz,3,PG,23,174,191,Michigan,2658240.0,21-25
444,Alec Burks,Utah Jazz,10,SG,24,170,214,Colorado,9463484.0,21-25
445,Dante Exum,Utah Jazz,11,PG,20,150,190,No College,3777720.0,15-20
446,Derrick Favors,Utah Jazz,15,PF,24,160,265,Georgia Tech,12000000.0,21-25
447,Rudy Gobert,Utah Jazz,27,C,23,172,245,No College,1175880.0,21-25
448,Gordon Hayward,Utah Jazz,20,SF,26,161,226,Butler,15409570.0,26-30
449,Rodney Hood,Utah Jazz,5,SG,23,169,206,Duke,1348440.0,21-25
450,Joe Ingles,Utah Jazz,2,SF,28,151,226,No College,2050000.0,26-30
451,Chris Johnson,Utah Jazz,23,SF,26,160,206,Dayton,981348.0,26-30
452,Trey Lyles,Utah Jazz,41,PF,20,173,234,Kentucky,2239800.0,15-20
453,Shelvin Mack,Utah Jazz,8,PG,26,154,203,Butler,2433333.0,26-30
454,Raul Neto,Utah Jazz,25,PG,24,170,179,No College,900000.0,21-25
455,Tibor Pleiss,Utah Jazz,21,C,26,163,256,No College,2900000.0,26-30
456,Jeff Withey,Utah Jazz,24,C,26,166,231,Kansas,947276.0,26-30
457,Priyanka,Utah Jazz,34,C,25,166,231,Kansas,947276.0,21-25
